"shortdescription","regex","attemptregex"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)"
"Odd number of 1s","0*10*(10*10*)*","0*(111)0*"
"Odd number of 1s","0*10*(10*10*)*","0*|1(1)0*"
"Odd number of 1s","0*10*(10*10*)*","0*|1(111)0*"
"Odd number of 1s","0*10*(10*10*)*","0*(111)0*"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)"
"Odd number of 1s","0*10*(10*10*)*","0*(1|1|1)0*"
"Three Choices (Regex)","001|1010|110","001|1010|110"
"Length 1 or More","(0|1)(0|1)*","(0|1)*"
"Length 1 or More","(0|1)(0|1)*","(0|1)(0|1)*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","((0|1)(0|1))|((0|1)(0|1)(0|1))"
"Length 1 or More","(0|1)(0|1)*","[01]*"
"Three Choices (Regex)","001|1010|110","[001]|[10101]|[110]"
"Three Choices (Regex)","001|1010|110","001"
"Three Choices (Regex)","001|1010|110","001|110"
"Three Choices (Regex)","001|1010|110","001|110|10101"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)|(1000101)"
"Odd number of 1s","0*10*(10*10*)*","(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100)|(1000101)|(1000110)"
"Length 1 or More","(0|1)(0|1)*","0*1*"
"Length 1 or More","(0|1)(0|1)*","(0|1)*"
"Length 1 or More","(0|1)(0|1)*","0?1?"
"Length 1 or More","(0|1)(0|1)*","0*|1*"
"Length 1 or More","(0|1)(0|1)*","(0|1)(0|1)*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","((0|1)(0|1))(0|1)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0|1)(0|1)(0|1)(0|1)*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0|1)?"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0|1)?(0|1)?(0|1)?"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0|1)(0|1)?(0|1)?"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0|1)(0|1)(0|1)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","((0|1)(0|1))(0|1)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(0|1)(0|1)+(0|1)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","((0|1)(0|1))+((0|1)(0|1)(0|1))"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","((0|1)(0|1))|((0|1)(0|1)(0|1))"
"Odd number of 1s","0*10*(10*10*)*","((0|1)*)"
"Odd number of 1s","0*10*(10*10*)*","((0|1))*"
"Odd number of 1s","0*10*(10*10*)*","(0|1)*"
"Odd number of 1s","0*10*(10*10*)*","(1)*"
"Odd number of 1s","0*10*(10*10*)*","0*(1)*"
"Three Choices (Regex)","001|1010|110","001|1010|110"
"Length 1 or More","(0|1)(0|1)*","0|1"
"Length 1 or More","(0|1)(0|1)*","0*|1*"
"Length 1 or More","(0|1)(0|1)*","(0|1)*"
"Length 1 or More","(0|1)(0|1)*","(0|1)+(0|1)*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","((0|1)(0|1))|((0|1)(0|1)(0|1))"
"Odd number of 1s","0*10*(10*10*)*","1(11*)"
"Odd number of 1s","0*10*(10*10*)*","1+(11*)"
"Odd number of 1s","0*10*(10*10*)*","1+(11)*"
"Odd number of 1s","0*10*(10*10*)*","(1+(11)*)+0*"
"Odd number of 1s","0*10*(10*10*)*","1|(111)*"
"Odd number of 1s","0*10*(10*10*)*","1|(111)*|01"
"Odd number of 1s","0*10*(10*10*)*","1|(111)*|01|10"
"Odd number of 1s","0*10*(10*10*)*","0*1(0|10*1)*"
"Three Choices (Regex)","001|1010|110","(001)|(1010)|(110)"
"Odd number of 1s","0*10*(10*10*)*","1"
"Odd number of 1s","0*10*(10*10*)*","(0*10*)*"
"Odd number of 1s","0*10*(10*10*)*","(0*10*)"
"Odd number of 1s","0*10*(10*10*)*","0*10*"
"Odd number of 1s","0*10*(10*10*)*","(0*10*)*0*10*"
"Odd number of 1s","0*10*(10*10*)*","(0*10*10*)*0*10*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(00)|(01)|(10)|(100)|(010)|(001)|(110)|(001)|(101)|(111)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(00)|(01)|(10)|(11)|(100)|(010)|(001)|(110)|(001)|(101)|(111)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(00)|(01)|(10)|(11)|(000)|(100)|(010)|(001)|(110)|(011)|(101)|(111)"
"Length 1 or More","(0|1)(0|1)*","(0|1)(0|1)*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Odd number of 1s","0*10*(10*10*)*","0*(1|1)0*"
"Odd number of 1s","0*10*(10*10*)*","0*(1|1||1)0*"
"Odd number of 1s","0*10*(10*10*)*","0*(1|1|1)0*"
"Odd number of 1s","0*10*(10*10*)*","(0*)|(1|1|1)|(0*)"
"Odd number of 1s","0*10*(10*10*)*","0*(1|1|1)0*"
"Odd number of 1s","0*10*(10*10*)*","0*(1)0*"
"Three Choices (Regex)","001|1010|110","001|110|10101|1010"
"Three Choices (Regex)","001|1010|110","001|110|1010"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1]"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1][0-1]"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1][0-1]*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1][0-1]*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1][0-1]*[0-1]*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1][0-1]*|[0101]"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1][01]*[10]*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[01]*[10]*"
"Odd number of 1s","0*10*(10*10*)*","1*[11]*"
"Odd number of 1s","0*10*(10*10*)*","0*1*[11]*"
"Odd number of 1s","0*10*(10*10*)*","0*1*"
"Odd number of 1s","0*10*(10*10*)*","0*|1*"
"Odd number of 1s","0*10*(10*10*)*","0*"
"Odd number of 1s","0*10*(10*10*)*","0*1"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*1*"
"Odd number of 1s","0*10*(10*10*)*","0*(11)*0*1*"
"Odd number of 1s","0*10*(10*10*)*","(111)*"
"Odd number of 1s","0*10*(10*10*)*","(111)*(1)*"
"Odd number of 1s","0*10*(10*10*)*","0*(111)*(1)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(111)*(1)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(111)*(1)*(0)*"
"Three Choices (Regex)","001|1010|110","001|10101|110"
"Three Choices (Regex)","001|1010|110","001|10101|1010|110"
"Three Choices (Regex)","001|1010|110","001|1010|110"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","0+1+"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","00|01|10|11|000|001|010|011|100|101|110|111"
"Odd number of 1s","0*10*(10*10*)*","0*1(0|10*1)*"
"Length 1 or More","(0|1)(0|1)*","(1|0)+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+(a|b)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a)+|(b)*(a)*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(b|a)*(baa)(b|a)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(aa*)|(b*a*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(aa*)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Length 1 or More","(0|1)(0|1)*","[0-1]"
"Length 1 or More","(0|1)(0|1)*","[0-1][0-1]*"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1]"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","[0-1][0-1]([0-1])?"
"Odd number of 1s","0*10*(10*10*)*","[0-1][0-1]*"
"Odd number of 1s","0*10*(10*10*)*","[0-1]([0-1][0-1])?"
"Odd number of 1s","0*10*(10*10*)*","[0-1]([0-1])?([0-1])?"
"Odd number of 1s","0*10*(10*10*)*","[0-1]([0-1])?(([0-1])?)*"
"Odd number of 1s","0*10*(10*10*)*","1+"
"Odd number of 1s","0*10*(10*10*)*","(0|1)*1(0|1)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*1(0)*"
"Odd number of 1s","0*10*(10*10*)*","0*1+0*"
"Odd number of 1s","0*10*(10*10*)*","0*1+0*1*"
"Odd number of 1s","0*10*(10*10*)*","0*1+0*1*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(0*10*1)*0*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(1*)(0)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(111*)(0)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(111)*(0)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(1)*(0)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(1)(0)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(1+)*(0)*"
"Odd number of 1s","0*10*(10*10*)*","(0)*(1*)+(0)*"
"Odd number of 1s","0*10*(10*10*)*","0+10+"
"Odd number of 1s","0*10*(10*10*)*","0*10*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","1(11)*"
"Odd number of 1s","0*10*(10*10*)*","(1(11)*|0*)(1(11)*|0*)(1(11)*|0*)"
"Odd number of 1s","0*10*(10*10*)*","(1(11)*|0*)1(11)*(1(11)*|0*)"
"Odd number of 1s","0*10*(10*10*)*","(0*|1(11)*)(0+|1(11)*)"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","(0|1(11)*)+"
"Odd number of 1s","0*10*(10*10*)*","(0|(1(11))*)+"
"Odd number of 1s","0*10*(10*10*)*","(0*|(1(11))*)+"
"Odd number of 1s","0*10*(10*10*)*","(0*|(1(11))*)"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*(0*|1(11)*)"
"Odd number of 1s","0*10*(10*10*)*","0*1(11)*0*"
"Three Choices (Regex)","001|1010|110","001|10101|110"
"Three Choices (Regex)","001|1010|110","001|10101|110|1010"
"Three Choices (Regex)","001|1010|110","001|110|1010"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","0|1"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","00|01|10|11"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(00|01|10|11)|(000)"
"Length 2 and 3","(0|1)(0|1)|(0|1)(0|1)(0|1) ","(00|01|10|11)|(000|001|010|100|011|101|110|111)"
"Odd number of 1s","0*10*(10*10*)*","1(11)*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(10*1)*0*"
"Odd number of 1s","0*10*(10*10*)*","0*10*(10*10*)*0*"
"Three Choices (Regex)","001|1010|110","001"
"Three Choices (Regex)","001|1010|110","0+0+1"
"Three Choices (Regex)","001|1010|110","0|0|1"
